site_id,once_married_percentage,agree_percentage,agree,legal_vote,legal_population,population
連江縣南竿鄉,0.5749706381312801,0.7824307304785895,2485,3176,6461,7663
連江縣北竿鄉,0.6107216494845361,0.7804878048780488,832,1066,2125,2425
連江縣莒光鄉,0.6508034610630408,0.7648578811369509,592,774,1481,1618
連江縣東引鄉,0.5703703703703704,0.7526132404181185,432,574,1138,1350
金門縣金城鎮,0.6138718984420081,0.7940828402366864,10065,12675,37815,43325
金門縣金沙鎮,0.6381832178598922,0.8333865814696486,5217,6260,18560,20784
金門縣金湖鎮,0.6137459807073955,0.7966869133075649,7214,9055,25915,29856
金門縣金寧鄉,0.5632929324728475,0.7224895076261644,7058,9769,28162,31765
金門縣烈嶼鄉,0.6537594277272374,0.8153998025666338,3304,4052,11676,12861
金門縣烏坵鄉,0.593841642228739,0.8471337579617835,133,157,567,682
宜蘭縣宜蘭市,0.5531692641958802,0.7116877099501911,30720,43165,79167,95732
宜蘭縣羅東鎮,0.5458285588060691,0.7164413706381642,22790,31810,57686,72433
宜蘭縣蘇澳鎮,0.6115367168993499,0.7399474087871152,13507,18254,34512,39682
宜蘭縣頭城鎮,0.6038856279820135,0.7430851475943286,9591,12907,25135,29133
宜蘭縣礁溪鄉,0.5984446503270726,0.7380639509417434,11795,15981,31084,35619
宜蘭縣壯圍鄉,0.6094148629742409,0.739067674280377,8704,11777,21447,24302
宜蘭縣員山鄉,0.5997335894179239,0.7401197604790419,10506,14195,28131,32281
宜蘭縣冬山鄉,0.5964826021180031,0.7315923566878981,17229,23550,45405,52880
宜蘭縣五結鄉,0.6069342235035278,0.7304061225629853,13075,17901,34892,39543
宜蘭縣三星鄉,0.6305538648813147,0.7279773750916518,6950,9547,19051,21359
宜蘭縣大同鄉,0.5754565844280679,0.8713704994192799,3001,3444,4935,6242
宜蘭縣南澳鄉,0.5574397339983375,0.8550777014817492,2366,2767,4644,6015
新竹縣竹北市,0.5413748558739377,0.6907951349199214,53786,77861,137129,187336
新竹縣竹東鎮,0.5675866362315833,0.7509957754978878,31110,41425,78794,96380
新竹縣新埔鎮,0.6096544224262929,0.7702133094903564,12060,15658,28894,33104
新竹縣關西鎮,0.6093492658653678,0.785070214338507,10622,13530,24712,28537
新竹縣湖口鄉,0.5647757120049441,0.7608463161545799,26323,34597,63511,77668
新竹縣新豐鄉,0.557002457002457,0.7590870667793744,18858,24843,45790,56980
新竹縣芎林鄉,0.600848938826467,0.7541067238036935,7391,9801,17293,20025
新竹縣橫山鄉,0.6169834646886108,0.7940899088337001,5052,6362,11346,12942
新竹縣北埔鄉,0.6196036422067488,0.7708380139294541,3431,4451,8180,9335
新竹縣寶山鄉,0.6195808015293234,0.7361167962887161,5395,7329,12973,14647
新竹縣峨眉鄉,0.6627886164310005,0.796644984594317,2327,2921,5068,5587
新竹縣尖石鄉,0.5353274883960805,0.8610572259941804,3551,4124,7364,9695
新竹縣五峰鄉,0.61416003351487225,0.8379782711384034,1774,2117,3997,4774
苗栗縣苗栗市,0.5780357304797316,0.763702009868817,31728,41545,74249,88216
苗栗縣苑裡鎮,0.5942137975271504,0.7782110307244198,16565,21286,38890,45211
苗栗縣通霄鎮,0.609172746528595,0.7756985222946376,12021,15497,29709,33992
苗栗縣竹南鎮,0.5569371879716707,0.7478738292604156,27788,37156,68528,86130
苗栗縣頭份市,0.5693677787371096,0.7605246502695271,34848,45821,83617,103081
苗栗縣後龍鎮,0.5954436384698127,0.7687918630612751,12396,16124,30948,36257
苗栗縣卓蘭鎮,0.6253884771694955,0.7696764847899565,6376,8284,14772,16732
苗栗縣大湖鄉,0.6270542742715095,0.7816056118472331,5014,6415,12653,14482
苗栗縣公館鄉,0.5885872342984276,0.7679788039364118,12174,15852,28318,33261
苗栗縣銅鑼鄉,0.6074086508869118,0.7717710371819961,6310,8176,15424,17871
苗栗縣南庄鄉,0.6192989444333798,0.788152120916626,3233,4102,8784,10042
苗栗縣頭屋鄉,0.6270741539326896,0.7803586678052946,4569,5855,9390,10667
苗栗縣三義鄉,0.5937422858553444,0.7846509240246407,6114,7792,13889,16204
苗栗縣西湖鄉,0.664012512441348,0.7872592592592592,2657,3375,6382,7033
苗栗縣造橋鄉,0.6144398078891425,0.7807133421400264,4728,6056,11027,12701
苗栗縣三灣鄉,0.6425223045516407,0.7900063251106895,2498,3162,5852,6613
苗栗縣獅潭鄉,0.6809051027476334,0.820230607966457,1565,1908,3968,4331
苗栗縣泰安鄉,0.6254346746150025,0.8145040455498951,2718,3337,5180,6039
彰化縣彰化市,0.5573778944609395,0.7406712416898992,82890,111912,190995,232729
彰化縣鹿港鎮,0.5562325784975466,0.7707419706456438,30405,39449,70505,86818
彰化縣和美鎮,0.5625895001211694,0.7471603373470482,30653,41026,75286,90782
彰化縣線西鄉,0.5762752075919336,0.7704835880731646,6150,7982,14065,16860
彰化縣伸港鄉,0.5664179305514399,0.7558579448376861,12387,16388,30407,37121
彰化縣福興鄉,0.5771478356956161,0.7734222828204129,15883,20536,39745,47059
彰化縣秀水鄉,0.5642259041510779,0.7584370414651378,13956,18401,32394,39291
彰化縣花壇鄉,0.5739210084400148,0.7690727175272467,17218,22388,38924,45853
彰化縣芬園鄉,0.6070474494339143,0.7725718510304038,8360,10821,20408,23583
彰化縣員林市,0.5546160621346785,0.74849744074477,41969,56071,102028,124890
彰化縣溪湖鎮,0.5564526325295764,0.7599297433236198,19037,25051,45147,55365
彰化縣田中鎮,0.5841698562865603,0.7772181522181523,15277,19656,35391,41541
彰化縣大村鄉,0.5852899805236962,0.7624544690389465,13606,17845,31492,36968
彰化縣埔鹽鄉,0.6048675292667899,0.790886899918633,12636,15977,28026,32460
彰化縣埔心鄉,0.5882285220895093,0.7651502046935363,13270,17343,29642,34745
彰化縣永靖鄉,0.5799469725664196,0.7705605908022827,13773,17874,31239,36962
彰化縣社頭鄉,0.5834615922764796,0.7713888475098069,15535,20139,36306,42882
彰化縣二水鄉,0.6256186893684419,0.7774164173279563,5976,7687,13339,15153
彰化縣北斗鎮,0.5705110891029681,0.7748503773093937,11911,15372,27593,33321
彰化縣二林鎮,0.6017690359347792,0.774554091184278,16632,21473,42976,50536
彰化縣田尾鄉,0.5849795141937372,0.7711702046133804,10063,13049,23179,27336
彰化縣埤頭鄉,0.6039071718893405,0.7726345520163188,9848,12746,25677,30508
彰化縣芳苑鄉,0.6383290035534056,0.7891253666240505,10493,13297,29291,33489
彰化縣大城鄉,0.6654902195369983,0.8042910447761195,4311,5360,14713,16717
彰化縣竹塘鄉,0.6286849950314674,0.7834094368340944,5147,6570,12821,15095
彰化縣溪州鄉,0.6101478494623656,0.7809920666720089,9746,12479,25405,29760
南投縣南投市,0.5732975612697073,0.7638645888432274,37547,49154,84328,99519
南投縣埔里鎮,0.5768981827234254,0.7809999207669757,29571,37863,68763,80340
南投縣草屯鎮,0.5806896693746847,0.7572466884569069,35215,46504,82922,97119
南投縣竹山鎮,0.608984231756509,0.7813172097553057,19254,24643,47034,54540
南投縣集集鎮,0.6345797852647168,0.7664829944898347,4034,5263,9611,10804
南投縣名間鄉,0.6111067555207108,0.7700826621449767,14533,18872,33408,38265
南投縣鹿谷鄉,0.6638208853960536,0.7980271270036992,6472,8110,15941,17687
南投縣中寮鄉,0.65095367847411445,0.801673640167364,5748,7170,13181,14680
南投縣魚池鄉,0.6265473243191773,0.785063752276867,5603,7137,13958,15753
南投縣國姓鄉,0.6350850823984111,0.8016510234083456,7089,8843,16597,18629
南投縣水里鄉,0.6203132144490169,0.780749969463784,6392,8187,15458,17496
南投縣信義鄉,0.5581638940234135,0.8500061675095596,6891,8107,13299,16230
南投縣仁愛鄉,0.569791470975014,0.8266164105537837,5702,6898,12589,15969
雲林縣斗六市,0.5656704317222826,0.7438735336654346,37033,49784,89761,108542
雲林縣斗南鎮,0.5906121624351808,0.7612619081813394,15902,20889,38138,44547
雲林縣虎尾鎮,0.5725820111794929,0.7485432991762105,22353,29862,58167,70844
雲林縣西螺鎮,0.5815170197985412,0.733918280463112,14136,19261,38142,46064
雲林縣土庫鎮,0.609224143918872,0.7602095982699826,9140,12023,24412,28794
雲林縣北港鎮,0.5881468487658188,0.7637183806315309,13375,17513,33958,39905
雲林縣古坑鄉,0.6273678168250526,0.772899926953981,10581,13690,27477,31358
雲林縣大埤鄉,0.6201261166579085,0.7862783810463968,6372,8104,16509,19030
雲林縣莿桐鄉,0.6050935442288262,0.7596169067595377,9597,12634,24570,28703
雲林縣林內鄉,0.5998332870241734,0.7742958175832215,6350,8201,15551,17995
雲林縣二崙鄉,0.6351889778439769,0.7665324899367453,7998,10434,23367,26855
